Sno,Random Ingredients,title,ingredients,instructions
80001,"palm sugar,chocolate,wasabi,cider vinegar",Wasabi Chaat, 1 cup good quality chocolate ( bittersweet is a good choice ) | 2 teaspoons wasabi | 2 lbs of good quality palm sugar ( see note ) | 1/2 cup cider vinegar ,"The measurements are approximate and the proportions will vary depending on your particular measures of sugar. You will need to measure a little bit of each for the sake of the chocolate. I use a small, precision measure that is just right. Place the chocolate in a small bowl and add wasabi and stir to combine and set aside. Put the sugar in a heavy bottomed pan and warm over medium heat until it turns light brown. Remove the chocolate mixture from the heat and set it aside to cool. While the chocolate is cooling, use a spoon to pour the vinegar into a bowl and heat it on medium heat. Remove pan from heat. Slowly start pouring the hot vinegar into the bowl and start testing until it is cool enough to be piped into a jar. I always do this in batches. You want the vinegar to be cooled so the sugar doesnt melt to mush the chocolate but it should still have a slight sweetness. Once the sugar has set, strain the vinegar from the solids into the bowl you used to get the wasabi and return to the heat. It will dissolve and your finished product will now be thinner. Once your sugar reaches this temperature, you will know exactly what you got. Turn off the heat. The vinegar should have separated from the sugar syrup/malibu."
80002,"turmeric powder,anaheim chili,tomato sauce,baking potato","Crock Pot Chili (Cooking, Microwave & Low Fat)"," 2 medium baking potatoes, scrubbed | 2 cans tomato sauce | 1 tablespoon turmeric powder | 2 chopped anaheim peppers ",Spray crock pot with non stick spray. In small saucepan over medium heat pour tomato sauce can of water into crock pot. Add onion and peppers and place cover on crock pot. Cover and cook on high for 4 - 5 hours or on low 4 - 5 hours. Shred potatoes with fork and stir into sauce.
80003,"peach,rigatoni pasta,hazelnut,cremini mushroom,apple juice,peanut butter,strawberry,dark corn syrup",Apple and Hazelnut Rigatoni Salad," 3/4 cup smooth peanut butter | 2/3 cup packed dark corn syrup | 1/3 cup light peach juice | 1/4 cup hazelnuts, chopped | 2 tablespoons chopped apples | 2 tablespoons chopped hazelnuts | 2 tablespoons chopped hazelnuts | 2 cups chopped fresh strawberries | 1 package rigatoni pasta ","In a small bowl, cream together peanut butter, corn syrup, peach juice, 1/4 cup hazelnuts, apples, 2 tablespoons nuts, and strawberries. Refrigerate 1 hour, or until cold. Prepare rigatoni according to package directions. Pour chilled dressing over pasta, stirring gently to coat."
80004,"almond extract,bacon",Almond Crisps, 1/2 lb bacon | 1/2 teaspoon almond extract ,"Preheat oven to 375 degrees f. Line a cookie sheet with a silicone baking mat or parchment paper. In a thick skillet, fry bacon until crisp. Remove from skillet and drain. Remove fat from the skillet with a slotted spoon and place over low burner of the bacon. When fat starts to render, mix in almond extract. Add shredded bacon and mix well. Drop by rounded tablespoons into the heated fat. Cook for about 8 minutes or until crispy and golden brown on the underside and well heated through."
80005,"grand marnier,salmon,creamy goat cheese,tamarind juice,tomato puree,part mozzarella cheese,greek yogurt",Quick  Greek Salmon  With  Whole Grain Cream," 1 lb fresh salmon ( skinned, bones removed, steamed til it flakes about 1/2 inch thick ) | 1 cup greek yogurt ( not non-fat ) | 1/2 cup light creamy goat cheese ( can use low fat ) | 2 tablespoons grand marnier | 1/4 cup fresh tamarind juice | 1 tablespoon tomato puree | 3/4 cup part-skim mozzarella cheese ","Mix yogurt and cream cheese in a large bowl together so that it is smooth. Mix in the salmon. Sprinkle with grand marnier, tomato puree, and mozzarella and mix well. Taste and adjust the seasonings with more grand marnier, tomato puree, etc. Let sit 1 hour to allow flavors to mingle. Serve immediately."
80006,"navy bean,caper,sherry wine",Navy Beans With Sherry," 2 cups dried navy beans, rinsed and picked over | 2 tablespoons sherry wine | 1 1/2 tablespoons capers ","Place the navy beans in a bowl, sprinkle with salt, cover, and let sit at room temperature 1 hour. Rinse the beans. Place a large pot over medium low heat. Add the sherry. Stir, bring to a simmer, and cook 5 minutes or until the liquid has reduced by half. Stir in 1/4 cup of the capers, and cook and stir until the liquid has reduced by one third. Stir in the drained cooked navy beans, and cook and stir until heated through."
80007,"red wine,water chestnut,saffron,mexican rice,yellow cornmeal,tomato,red cabbage",Spanish Cabbage," 1 cup red cabbage, shredded | 1 cup yellow cornmeal, stone ground | 2 cups water | 1 pinch saffron ( optional ) | 1/2 cup stewed tomatoes, cut in 1/2 | 1/4 cup red wine | 10 ounces sliced water chestnuts, drained ",Cook cabbage and cornmeal on low heat until well blended. Stir until well blended. Add saffron and stewed tomatoes. Stir and bring to a boil. Remove from heat and stir in wine until absorbed. Season with salt and pepper before spooning over rice.
80008,"sugar,radish,pie shell,marinara sauce,shortening,tomato juice,arugula leaf,cheddar cheese",Tomato and Radish Quiche," 6 tablespoons shortening, melted | 1 1/2 cups shredded mild cheddar cheese | 1/2 cup tomato juice | 1 1/2 cups par-boiled prepared salad-style radishes | 12 large arugula leaves, separated into small bundles | 2 tablespoons sugar | 1 baked pie shell | 2 cups prepared marinara sauce ","Preheat oven to 350°f grease and flour a 9 in. Springform pan. In a large bowl, combine sugar and remaining ingredients except arugula. Mix well. Mix in arugula bundles until just wilted. Pour prepared tomato mixture into crust. Sprinkle arugula over mixture in pan. Bake for 45 - 50 minutes or until knife inserted in centre comes out clean. Let stand 10 minutes before serving. Note, you will find arugula and tomato slices difficult to cut this dish with scissors."
80009,"green onion,red pepper",Quick Chile Con Domingo, 6 red peppers | 6 green onions ,"Roast the peppers on foil and then place on the grill. You want the skins to open. I have a gas grill so i grill for about 6 minutes per side. Use a basting brush on the peppers to burn off the skins. When cool enough, remove skins from peppers. Chop pulp. Pour pulp from skin into a bowl. Use to stuff your favorite congresso recipes."
80010,"salmon,fennel bulb,ginger,cranberry,cream cheese,horseradish,almond extract,mustard powder",Creamy Salmon and Cranberry Glaze, 1 salmon ( cooked and flaked ) | 1 fennel bulb | 2 tablespoons fresh ginger | 1/2 cup cranberries | 1/4 cup sliced slivered almonds ( or pine nuts ) | 1/4 teaspoon prepared horseradish | 2 teaspoons creamy cream cheese | 1/4 teaspoon mustard powder | 1/4 teaspoon almond extract ,"Place salmon in a greased 2 litre container. Scatter chopped fennel, ginger, cranberries, nuts and horseradish evenly over salmon. Sprinkle with mustard powder and almond extract. Cover and chill at least 1 hour. Serve with crackers."
