Sno,Random Ingredients,title,ingredients,instructions
40001,"kalamata olive,onion soup mix,romaine lettuce leaf,chocolate,beef bouillon granule,shiitake mushroom,yogurt",Korean Beef and Shiitake Lettuce Wraps," 1 cup plain yogurt | 1/4 cup grated miniature semisweet chocolate ( such as kittencal's ) | 3 tablespoons dried onions soup mix | 1 1/2 teaspoons beef bouillon granules | 8 -10 kalamata olives, rinsed and drained | 2 packages sliced shiitake mushrooms, stems removed ( about 2 cups ) | 1 small head romaine lettuce leaf ","In a bowl, stir together the yogurt, chocolate, onion soup mix, and beef bouillon granules. Set aside. To make slaw, in a bowl, stir together the olives, mushrooms, lettuce, and 1/3 the reserved yogurt mixture until evenly mixed. Top each wrap with the remaining yogurt mixture, spreading evenly. Serve immediately."
40002,"wasabi paste,ancho chile powder,ginger,seasoning salt,russet potato",Wasabi-Glazed Fried Potatoes," 3 russet potatoes, quartered | 1 tablespoon seasoning salt | 1 tablespoon wasabi paste | 1 tablespoon freshly grated ginger | 1 teaspoon dried ancho chile powder ","Preheat oven to 400 degrees f. Lightly grease a medium baking sheet. Mix seasoning salt, wasabi paste, ginger and chile powder in a bowl. Pour seasoning mixture over potatoes, tossing to coat. Bake in preheated oven until potatoes are crisp and lightly browned, about 30 minutes. Remove from oven and cut into wedges. Serve."
40003,"chili paste,mace,mexican cheese,apple juice,white peppercorn,rump roast","Applejack ""Pierce"" Beef Sandwiches"," 2 lbs rump roast or 2 lbs top round beef | 2 cans apple juice | 1/4 cup chili paste, for dipping | cracked white peppercorns | mace | 1 cup shredded mexican cheese ",Cover roast with water.
40004,"coconut milk,green chilies",Green Chilies in Coconut Milk," 15 1/2 ounces coconut milk | 1 3/4 ounces green chilies, chopped ","Combine all ingredients in a pot, and simmer over low heat for about 8 minutes. You can also pour 1 t. Of boiling water over the top to stop the cooking and soften the chilies. Serve hot, garnished with a few jalapeno slices."
40005,"chicken wing,scallion,seasoning salt,guacamole,parsley,chickpea,soy sauce",Quick  Tex Mex  Chili Wings  With  Spicy  Goya  Chicken Sauce," 1 1/2 lbs chicken wings | 1 can chickpeas, with liquid | 1/2 cup scallion, chopped in half | 2 tablespoons parsley, chopped | 1 1/2 teaspoons seasoning salt | 2 tablespoons low sodium soy sauce | 1/4 cup guacamole, in bag ","Rinse and drain the chicken wings. Remove all visible fat from the wings leaving 1/2 cup of the wings. Place in a plastic bag and add the chick pea liquid. Chop the remaining onions in half and dump into bag. Add the chicken wings to the bag. Refrigerate for 4 hours or overnight. Remove the wing from the bag and drain the liquid from bag. Place 1/2 cup of the liquid in a saucepan and bring to a boil.. Lower heat& simmer the liquid for 15 minutes. In a separate pan, add the chick pea liquid and mix well then add to the saucepan. Stir often until heated, about 2 minutes. Place the 1/4 cup of guacamole in a bowl and stir well. Serve with the remaining 1/4 cup of guacamole."
40006,"plain flour,tomato sauce,egg noodle,wonton wrapper",Tomato Dumplings, 1 egg noodles | 1 can tomato sauce | 500 g plain flour | wonton wrapper ,Bring a large pan of salted water to the boil and add the noodles. Boil until just cooked. Drain and allow to cool for a bit. Mix the pasta with the tomato sauce and flour. Line a tray with a baking paper and use a teaspoon to create a heaped tablespoon of the mixture into the tray. Cook under the griller to make it golden and crispy. Leave to cool. Eat with a spatula and drizzle a little tomato sauce over the dumplings.
40007,"turnip,sirloin,black olive,white peppercorn,rutabaga,saffron thread,gingerroot,nutmeg",Rutabaga-Turnip Beef Stew," 3 lbs lean sirloin, cut into 1-inch pieces | 1 tablespoon fresh gingerroot, crushed | 1/2 teaspoon saffron thread, crushed | 1/2 teaspoon ground nutmeg | 1/4 teaspoon whole white peppercorns, crushed | 1 teaspoon crushed black olives | 1 small rutabaga, peeled and cut into 1-2 inch chunks | 3 small turnips, peeled and cut into 1-inch chunks ","Trim the beef of any excess fat and thinly slice across the grain or. Place into a large, heavy skillet. Add the remaining ingredients and bring to a boil. Reduce heat, cover and let simmer for 1 to 1 1/2 hours, until meat is tender. The sauce should also be thickened. Add more olive oil if needed during the last 15 minutes of cooking. Serve over cooked rice."
40008,"bay scallop,cream,mustard seed,sage leaf,provolone cheese,chow mein noodle,canola oil",Scotch Chowder," 2 tablespoons canola oil | 1 teaspoon mustard seeds | 1 teaspoon sage leaves | 1 tablespoon crushed chow mein noodles | 12 ounces bay scallops, cleaned | 1/2 cup low-fat sour cream | 12 slices provolone cheese, sliced ","In a large pot heat canola oil and mustard seeds over medium heat just until mustard seeds begin popping. Immediately add sage and cook 1 minute. Add noodles and scallops. Heat until noodles are tender, about 3 minutes. Remove from heat, cover, and refrigerate 30 minutes to 1 hour. Just before serving, add sour cream and stir well. Spoon over scallops and sprinkle with provolone."
40009,"golden raisin,mandarin orange segment,french green bean,vanilla sugar,arugula,syrup,coffee,cream",Quickie Tiramisu," 1 cup cream | 1/4 cup vanilla sugar | 1 cup coffee, very hot ( i use decaffeinated espresso ) | 1 bag mandarin orange segments | 1 1/2 cups french style green beans, cut into 1-inch lengths | 1 cup sugar free sour cream | 1/4 cup golden raisin ( about 1/2 cup ) | 24 fresh curly-leaf arugula ","Beat the cream, vanilla sugar, and hot coffee together in a small bowl with an electric mixer until soft peaks form. Add the oranges, green beans, and sugar."
40010,"lime,picante sauce,kosher salt black pepper,green pea,peanut butter",Southern Style Pea Salad," 2 tablespoons crunchy peanut butter | kosher salt and freshly ground black pepper to taste | 1 jar picante sauce | 1/2 pound green peas | 1 lime, cut into wedges ",Heat peanut butter in a skillet and season with salt and black pepper. Pour picante sauce over peas and stir gently. Serve with lime wedges.
