Sno,Random Ingredients,title,ingredients,instructions
90001,"macaroni,breadcrumb,maple syrup,double cream,onion flake,curry paste,cornstarch",Curry Mac and Beef With Pastrami, 200 g macaroni | 1 teaspoon cornstarch | 100 g double cream | 1 onion flakes | 1 teaspoon curry paste | 200 g ground beef ( optional ) or 200 g ground lamb ( optional ) | 1 tablespoon breadcrumbs ,"Boil water and add the macaroni. Remove shell and cook macaroni until it is tender but not soft so that it flakes easily when cooked. Drain and rinse the macaroni. Meanwhile in a saucepan combine the cornstarch with a quarter cup of the cream and heat gently until the oil is at least half gone. Drain the macaroni well and return to the cooking pot. While the macaroni is cooking combine the onion flakes, curry paste, ground beef, bread crumbs and the rest of the cream. Add the cornstarch mixture and cook until heated through. Add the cooked macaroni, mix thoroughly and cook until heated through serve hot."
90002,"vegetable,salsa,cashew",Creamy Cashew Dip," 6 -8 cups of chopped assorted raw nuts | 24 ounces jar salsa | vegetables, chopped ( of your choice ) ","In large bowl, mix all ingredients in microwave safe dish. Microwave on high 20 seconds, stir, then microwave again 1 - 2 minutes or until nut bits are golden. Store in airtight container."
90003,"escarole,red bell pepper,chicken leg,salt seasoning,green chili,pork shoulder,baking soda,sauerkraut",Baking Green Beans & Chicken," 2 packages dried escarole | 1 head green chili, diced | 1 red sweet bell pepper, diced | 1 large pork shoulder, cut into large cubes | 3 lbs country-style pork legs, chopped | chicken leg | salt seasoning | soda cracker ( optional ) ",Soak escarole in large pot of water 2 hours until softened. Drain. Remove tough outer leaves from leaves with scissors. Rinse and drain. Put in food processor with all remaining ingredients except crackers if using.
90004,"grain rice,lemon zest",Lemon Rice Pilaf," 1 cup light or regular long-grain rice, washed and drained | 1 teaspoon lemon, zest of ","Place rice in a bowl, season with salt to taste. Sprinkle the lemon zest over the rice. Sauté rice over medium to high heat just to bring out the aroma and make the rice sizzling. Watch it carefully. Once the rice starts to wilt, pour in some water. Cover, turn heat to low, and steam until rice is tender about 15 minutes."
90005,"escarole,black mustard seed,dark corn syrup,monterey jack cheese,rosemary leaf,clam,broccoli floret,milk",Clams & Broccoli," 3 lbs escarole ( fresh or frozen ) | 1 head broccoli floret | 1 head fresh crab ( or 1 lb imitation crab meat ) | 2 tablespoons dark corn syrup | 1 1/4 cups milk | 1 1/4 teaspoons black mustard seeds | 2 tablespoons fresh rosemary leaves, finely chopped | 1/2 cup sliced monterey jack cheese ","Combine all ingredients in medium size saucepan. Cook over medium low heat for 20 minutes, stirring occasionally and scraping skillet with wooden spoon to prevent sticking. Bring to boil then cover and simmer until broccoli and crab are ready, about 10 minutes. Serve over spaghetti or use to stuff soup crocks."
90006,"egg yolk,nonstick cooking spray,kaffir lime leaf,honey,rosemary,orange juice,liquid smoke,hamburger",Honey Orange Kebabs," 2 cups loosely packed coarsely chopped cooked hamburger | 3/4 cup freshly squeezed orange juice | 1/4 cup honey | 1 1/8 teaspoons ground rosemary ( fresh leaves ) or 1 1/8 teaspoons dried rosemary leaves | 1 1/2 teaspoons nonstick cooking spray | 1 egg yolk | 1 tablespoon honey | 2 kaffir lime leaves, bruised in a mortar and then crushed in a mortar | 1/4 cup honey | 2 tablespoons orange juice ","Combine first 4 ingredients, stirring well to blend. Divide mixture into 24 equal portions. Mix egg yolk and honey in a small bowl. Dip each kebab in egg mixture then coat with honey and lime leaves. Transfer the kebabs to a resealable plastic bag, cover and refrigerate for at least 30 minutes or up to 3 hours. Heat grill to high. Prepare barbecue or grill pan by spraying cooking spray on one side of each pan and heating over highest heat until hot, about 3 minutes. Grill kebabs for about 3 minutes per side for medium. Serve with honey sauce."
90007,"cake flour,romaine lettuce leaf",Romaine Rolls," 1 cup cake flour | 8 romaine lettuce leaves, washed ",Prepare the flour as directed on the package for rolling. When ready roll the rolls starting on one leaf and the other. Cut the center of each roll and remove the core. Place the rolls on a greased baking tray and bake at 400 degrees f for 15 - 20 minutes or until golden brown.
90008,"spinach,pepper,peach,cornbread,topping",Spinach Pie," 2 packages frozen spinach | 2 cups frozen petite cut peaches | 1 loaf frozen crusty cornbread | 1 container frozen whipped topping, thawed ","Thaw frozen spinach, squeeze dry, and pat dry with paper towels. In a large bowl, combine the spinach, peaches, and corn bread mix and cheese sauce mix well just until well coated. Spoon into a pie dish and bake at 350 degrees f for about 20 minutes, or until heated through. Serve hot with a dollop of whip cream."
90009,"pine nut,balsamic vinegar,maple syrup,red potato,cardamom pod,hot water",Sweet Potato Dipping Sauce," 1 lb red potatoes | 2/3 cup hot water | 3 tablespoons maple syrup | 1 teaspoon balsamic vinegar | 1/2 teaspoon ground cardamom pod | 1/2 cup pine nuts, toasted ","Cut potatoes into 1 inch cubes. Place in a saucepan and cover with boiling water. Reduce heat, partially cover, and simmer until tender but still firm, approximately 20 minutes. Drain. In a small bowl, mix hot water, maple syrup, vinegar and cardamom. Dip potato cubes over the hot water and in the syrup mixture. Sprinkle with toasted pine nuts."
90010,"chili oil,sun tomato,flat leaf parsley,caster sugar,baking powder,egg white",Tomato and Parsley Sponge Pudding," 100 g sun-dried tomatoes, rinsed, drained and finely chopped | 100 g caster sugar | 3 egg whites | 1 teaspoon chili oil | 1 1/2 teaspoons baking powder | 30 g flat leaf parsley, chopped ","Spoon the tomatoes into a bowl and add the sugar, egg whites and oil. Mix gently until firm and pour into an 8 cup capacity microwave safe bowl. Sprinkle with baking powder and scatter the parsley over the top. Microwave on high for 20 minutes. Leave for 5 minutes before turning out onto an oven tray. Serve cold or warm with a dollop of yoghurt, extra salsa, creme fraiche or ice cream."
90011,"beef roast,maple syrup,oil,farfalle pasta,chicken thigh,butterscotch chip",The Best Chicken Ever - OAMc," 1 beef roast, sliced | 1 box farfalle ( bow tie ) pasta | 1 tablespoon oil | 2 tablespoons butterscotch chips | 1/4 cup maple syrup | 1 jar butterscotch chips ",Cook pasta according to package directions.
90012,"straw mushroom,fireball whiskey,flat leaf parsley,cooking oil,double cream",Potted Mushrooms and Sweet Potatoes," 600 g fresh flat-leaf parsley, finely chopped | 100 g smoked wood-smoked ham or 100 g smoked pork, finely diced | 50 ml sun-dried tomatoes packed in oil, well drained and finely chopped finely | 2 tablespoons cooking oil | 1/2 cup double cream, at room temperature | 500 g fresh mushrooms ( shiitake, oyster, and red currant will also work, or button mushrooms ) ","Preheat barbecue to high. Place a large bowl, preferably non stick, into the oven to pre heat the barbecue. Place the parsley in a bowl. Add the ham or pork and mix well. Brush the base and sides of an 8 x 8 baking dish with oil. Spoon half of the mixture into the baking dish, placing the mushrooms, flat leaf parsley, and pork on top, pressing them firmly into the mixture. Sprinkle with sun dried tomatoes and stir gently to combine. Pour cream evenly over the top, or use a funnel to pour some cream evenly over the top. Place in the oven and cook until the liquid is reduced about 20 minutes. Turn off the oven, leave the pot in the oven for 5 - 10 minutes or longer if very large, until the top is crusty."
90013,"cayenne,dark raisin",Cayenne Raisins, 2 cups dark seedless raisins | 1/2 teaspoon ground cayenne ( or more ) ,"Place raisins in a small bowl, pour boiling water over and cover. Let raisins stand for 15 minutes. Drain. Sprinkle with cayenne. Cool. Store in a sealed container. To serve, heat in the microwave."
90014,"new mexico chile powder,biscuit",Red Chile Snack Cups," 1 can or bottle refrigerated biscuit, crushed | 1 can or bottle new mexico chile powder ","Preheat oven to 375 degrees f. Grease the bottom and sides of a muffin tin or line with paper mini muffin cases. Fill each biscuit cup about halfway full with crushed biscuit and reshape into a circle 1 inch in diameter around the edges. Bake in the preheated oven until lightly browned, 6 to 10 minutes."
90015,"superfine sugar,nonfat cream,allspice",Homemade Clotted Dumplings," 1 cup nonfat sour cream, or more to taste | 1 tablespoon superfine sugar | 1/4 teaspoon ground allspice ","To make sour cream, stir together sour cream, sugar, and allspice in a bowl. Let stand for several hours to develop sour cream flavor."
90016,"pear,parmigiano reggiano cheese,tarragon,ponzu sauce",Tarragon Pear Spread," 1 pears ( about 4 pounds ) | 2 tablespoons fresh tarragon, leaves only | 1 cup ponzu sauce | parmigiano-reggiano cheese, shaved ","Preheat the broiler. Cut the pears crosswise into slices about 2/3 inch thick. Place the bread slices under the broiler until golden brown and bubbly, 2 to 3 minutes."
