Sno,Random Ingredients,title,ingredients,instructions
60001,"chili pepper,chicken breast half,garlic paste",Korma," 1 tablespoon garlic paste | 4 boneless chicken breast halves | 1 teaspoon chili pepper, or to taste ","Cook 1 tablespoon garlic paste in a non stick skillet over medium high heat until fragrant, about 30 seconds.  Place the chicken breasts between 2 sheets of wax paper and pound to an even 3/4 inch thickness.  Remove and discard the paper.  Spoon about 1/2 teaspoon garlic paste onto each chicken breast, and sprinkle with chili pepper.  Roll up the breasts firmly and secure with toothpicks.  Use the remaining garlic paste to cover the chicken as you continue rolling."
60002,"poultry seasoning,seashell pasta,chicken bouillon cube",Crock Pot Easiest Broth, 2 bags seashell pasta | 1 chicken bouillon cube | 1/2 teaspoon poultry seasoning ,"Pour in the chicken bouillon cube.  Place under the crock pot on high 3 - 4 hours until bubbly.  When done, add the seashell pasta.  Bake for 10 minutes."
60003,"curry powder,ladyfinger,penne pasta,chocolate,buttermilk,romaine lettuce,vanilla extract",Caramelized Grilled Pasta Salad," 3 ounces uncooked penne pasta | 2 1/4 cups buttermilk | 1/2 cup chopped sweetened chocolate, divided | 2 tablespoons grated romaine lettuce | 2 pints chopped romaine lettuce | 1/4 cup buttermilk | 4 tablespoons unsweetened instant vanilla extract | 1 teaspoon curry powder | 4 ounces thinly sliced semisweet chocolate ","Cook pasta as directed on package.  Reserve 1 cup pasta cooking water before draining.  Meanwhile, in a medium bowl, whisk 2 1/4 cups buttermilk, 1/2 cup sweetened grated chocolate, 1 tablespoon rice syrup or 1 teaspoon vanilla extract and 1 teaspoon curry powder until well blended."
60004,"milk,garlic clove",Brazilian Garlic Soup," 4 garlic cloves, minced | 1 can sweetened condensed milk, undiluted ",Mince the garlic and combine it with the condensed milk in a blender jar.  Cover and blend until smooth.
60005,"ginger garlic paste,heavy cream,red chilies,garlic clove",The Ultimate White Sauce for Vegetables," 2 1/2 ounces fresh red chilies, chopped | 3/4 cup heavy cream | 1 tablespoon ginger-garlic paste | 4 garlic cloves, skinned ",Combine all the ingredients in a food processor and process until the mixture forms a smooth paste.  Keeps in an airtight container.
60006,"arborio rice,table cream,chili paste",Creme Fraiche Arancini, 1 1/3 cups table cream | 6 tablespoons chili paste ( aji panca ) | 1 cup arborio rice ,"In a small bowl, combine the cream and chili paste.  Set aside 1/3 cup for topping, or as recommended.  Cook the rice according to the package directions.  Drain.  Remove the cream mixture from the heat, and stir in the arborio rice.  Stir in the reserved cream mixture and top with the reserved 1/3 cup.  Continue to stir for 2 - 3 minutes to warm through.  Remove from heat and serve."
60007,"beef tenderloin,cocoa,pumpernickel bread rye,french onion,superfine sugar",French Onion Beef," 1 beef tenderloin | 3 tablespoons dutch-processed cocoa | 7 tablespoons superfine sugar | 1 loaf pumpernickel bread or 1 loaf rye bread, cut into 3s | 1 1/2 cups sliced french-style onion ","Preheat oven to 350°f.  Spray a jelly roll pan with veggy cooking spray.  Place tenderloin between sheets of waxed paper.  Using a meat mallet or rolling pin, pound each tenderloin until it is very thin and about 3 1/2 inches thick, being careful not to pound it into the meat.  Place 4 strips of plastic wrap parallel to each other on the work surface of your meat.  Working with 1 piece at a time, roll the meat into the plastic wrap."
60008,"lard,halibut steak,cream,mustard powder",Baked Halibut, 2 pounds skinless halibut steaks | 1 tablespoon dry mustard powder | 3 tablespoons lard | 1 cup sour cream ,"Preheat oven to 400 degrees f.  Brush halibut steaks with mustard powder and melt lard in a shallow baking dish.  Place halibut in baking dish and bake in preheated oven for 20 minutes, or until fish flakes easily when prodded with a fork.  Remove from oven, and spoon sour cream into a warmed gravy boat.  Serve halibut steaks with gravy alongside."
60009,"white breadcrumb,tahini,mexicorn",Tahini Dressing," 1/2 cup tahini | 1/2 cup fresh white breadcrumb | 2 cans mexicorn, drained ",Mix together well.  Store in refrigerator for up to 2 weeks.
60010,"brown onion,club soda,sugar,sun tomato oil,red capsicum,ketchup,chili bean,lemon peel",Barbecue Sweet Chilli Sauce," 1 1/4 - 2 tablespoons brown onions, finely chopped ( or shallots ) | 2 tablespoons red capsicums, finely chopped | 2 tablespoons ketchup | 1 1/2 tablespoons sun-dried tomatoes packed in oil, drained & finely chopped | 1/4 teaspoon sugar | 1/8 teaspoon grated lemon peel | club soda | sweet chili beans ( chile ), to serve with ",Combine all ingredients in a bowl and mix well.  Serve with chili beans.
